Country,admin0Name_en,admin1Pcode,admin1Name_en,admin2Pcode,Admin2Name_en,T_TL
Somalia,Somalia,SO11,Awdal,SO1101,Borama,398609
Somalia,Somalia,SO11,Awdal,SO1102,Baki,96885
Somalia,Somalia,SO11,Awdal,SO1103,Lughaye,100819
Somalia,Somalia,SO11,Awdal,SO1104,Zeylac,76951
Somalia,Somalia,SO12,Woqooyi Galbeed,SO1201,Hargeysa,959081
Somalia,Somalia,SO12,Woqooyi Galbeed,SO1202,Berbera,176008
Somalia,Somalia,SO12,Woqooyi Galbeed,SO1203,Gebiley,106914
Somalia,Somalia,SO13,Togdheer,SO1301,Burco,460354
Somalia,Somalia,SO13,Togdheer,SO1302,Buuhoodle,83747
Somalia,Somalia,SO13,Togdheer,SO1303,Owdweyne,101358
Somalia,Somalia,SO13,Togdheer,SO1304,Sheikh,75904
Somalia,Somalia,SO14,Sool,SO1401,Laas Caanood,156438
Somalia,Somalia,SO14,Sool,SO1402,Caynabo,59080
Somalia,Somalia,SO14,Sool,SO1403,Taleex,73529
Somalia,Somalia,SO14,Sool,SO1404,Xudun,38380
Somalia,Somalia,SO15,Sanaag,SO1501,Ceerigaabo,205318
Somalia,Somalia,SO15,Sanaag,SO1502,Ceel Afweyn,99950
Somalia,Somalia,SO15,Sanaag,SO1503,Laasqoray,238855
Somalia,Somalia,SO16,Bari,SO1601,Bossaso,469566
Somalia,Somalia,SO16,Bari,SO1602,Bandarbayla,15481
Somalia,Somalia,SO16,Bari,SO1603,Caluula,48986
Somalia,Somalia,SO16,Bari,SO1604,Iskushuban,58415
Somalia,Somalia,SO16,Bari,SO1605,Qandala,52111
Somalia,Somalia,SO16,Bari,SO1606,Qardho,85588
Somalia,Somalia,SO17,Nugaal,SO1701,Garoowe,246702
Somalia,Somalia,SO17,Nugaal,SO1702,Burtinle,64963
Somalia,Somalia,SO17,Nugaal,SO1703,Eyl,81032
Somalia,Somalia,SO18,Mudug,SO1801,Gaalkacyo,389194
Somalia,Somalia,SO18,Mudug,SO1802,Galdogob,79595
Somalia,Somalia,SO18,Mudug,SO1803,Hobyo,115222
Somalia,Somalia,SO18,Mudug,SO1804,Jariiban,81890
Somalia,Somalia,SO18,Mudug,SO1805,Xarardheere,51961
Somalia,Somalia,SO19,Galgaduud,SO1901,Dhuusamarreeb,144407
Somalia,Somalia,SO19,Galgaduud,SO1902,Cabudwaaq,101959
Somalia,Somalia,SO19,Galgaduud,SO1903,Cadaado,129588
Somalia,Somalia,SO19,Galgaduud,SO1904,Ceel Buur,83610
Somalia,Somalia,SO19,Galgaduud,SO1905,Ceel Dheer,109870
Somalia,Somalia,SO20,Hiraan,SO2001,Belet Weyne,235214
Somalia,Somalia,SO20,Hiraan,SO2002,Bulo Burto,138283
Somalia,Somalia,SO20,Hiraan,SO2003,Jalalaqsi,147189
Somalia,Somalia,SO21,Middle Shabelle,SO2101,Jowhar,179097
Somalia,Somalia,SO21,Middle Shabelle,SO2102,Adan Yabaal,37781
Somalia,Somalia,SO21,Middle Shabelle,SO2103,Balcad,212261
Somalia,Somalia,SO21,Middle Shabelle,SO2104,Cadale,86896
Somalia,Somalia,SO22,Banadir,SO2201,Banadir,1650228
Somalia,Somalia,SO23,Lower Shabelle,SO2301,Marka,198301
Somalia,Somalia,SO23,Lower Shabelle,SO2302,Afgooye,238655
Somalia,Somalia,SO23,Lower Shabelle,SO2303,Baraawe,74072
Somalia,Somalia,SO23,Lower Shabelle,SO2304,Kurtunwaarey,262317
Somalia,Somalia,SO23,Lower Shabelle,SO2305,Qoryooley,292392
Somalia,Somalia,SO23,Lower Shabelle,SO2306,Sablaale,23447
